,yelping_since,compliments_plain,review_count,compliments_cute,compliments_writer,fans,compliments_note,compliments_hot,compliments_cool,compliments_profile,average_stars,compliments_more,elite,name,user_id,votes_cool,compliments_list,votes_funny,compliments_photos,compliments_funny,votes_useful
130,2009-02,3.0,44,1.0,1.0,2,2.0,2.0,1.0,1.0,3.77,3.0,[],Tracy,-DyKc_NC8NNprbROHYL2sw,24,,14,,2.0,70
131,2009-02,1.0,30,,,1,,,,,2.94,,[],Santo,ld7dPTW7NSTOwt8S5-w4SA,12,,8,,,70
132,2009-02,2.0,116,,,3,,,6.0,,3.81,1.0,[2010],Mac,EaE0VFIsbhMNoWIIczyneA,25,,16,,1.0,74
133,2009-02,,48,,,0,3.0,,1.0,,3.16,1.0,[],Jeff,3dPeTVuQatCgQeyJgkwKdA,28,,21,,,74
134,2009-02,,48,,,3,2.0,,,,3.8,,[],Katelyn,KySXDc4gcd5EJ7B_ef6FHw,32,,40,,3.0,74
135,2009-02,4.0,76,,,4,1.0,,2.0,,3.47,,[],Donald,ut1j8tLQHsowhkHIeOoojw,29,,55,,2.0,74
136,2009-02,1.0,78,,1.0,5,1.0,3.0,6.0,,4.04,1.0,[],Alison,hwt-13UcZ39XbjNNhWbDZQ,24,,26,,1.0,74
137,2009-02,1.0,112,,2.0,4,3.0,1.0,4.0,,3.74,,[2010],Jenna,gN0BBcJS8Axaph0r1AJj7Q,38,1.0,36,,,78
138,2009-02,1.0,105,,,1,,,1.0,,3.95,,[],Cliff,Mz72cRAwEl7GZistopaNNQ,28,,16,,,78
139,2009-02,3.0,62,,2.0,3,3.0,1.0,2.0,,4.15,,"[2013, 2014]",Marianne,kOb1hWSwA6aD2mRVy6lqFQ,16,,21,,,82
140,2009-02,1.0,70,,2.0,2,3.0,2.0,4.0,,4.0,2.0,[2012],Michael,EGEx3FegAbr1z0MLj2oRIA,35,,17,,,82
141,2009-02,1.0,38,1.0,1.0,2,1.0,1.0,4.0,1.0,4.08,,[],Laura,CnNvgIb_DO8ltk54OOs3XQ,23,,11,,,86
142,2009-02,5.0,75,,1.0,0,1.0,3.0,4.0,,3.53,,[],Vanilla Nugget,mufnmToglq1QA8qtYaRxeA,49,,49,1.0,,86
143,2009-02,1.0,48,,,2,,,,,3.54,,[],Erica,CzbJawRRpopaWrt6sWpoaw,16,,22,,1.0,86
144,2009-02,4.0,138,,,6,2.0,2.0,1.0,,4.55,,[],DeeJay,PfTeIgLKQMIbgm9aMMKUEg,62,,33,1.0,1.0,90
145,2009-02,2.0,24,,1.0,2,5.0,2.0,1.0,,4.0,1.0,[],Ariel,m4WEUxJzNljrAunQclHofQ,37,,70,,3.0,94
146,2009-02,2.0,159,,,3,1.0,,,,3.09,,[],Daniel,FKyea9iziM__tR1JghHj_Q,31,,76,,1.0,94
147,2009-02,,45,,,2,1.0,1.0,,,2.93,1.0,[],Colin,GhibpoTtNRskuDcI1ixwYQ,29,,56,,2.0,94
148,2009-02,,106,1.0,,1,1.0,2.0,3.0,,3.48,2.0,"[2009, 2010]",Monica,6fcKiVhVsqwtH_T5_uoVRg,14,,40,,2.0,94
149,2009-02,2.0,75,1.0,4.0,3,2.0,6.0,9.0,1.0,3.93,2.0,[],Kathy,QfzlTnF9mJ1hTCQQCUeRrA,31,,27,1.0,,98
150,2009-02,,172,,2.0,6,2.0,1.0,3.0,,4.22,,[],Jenna,8zMIxKRy2n1ujyMCAscLaw,32,,16,1.0,1.0,102
151,2009-02,1.0,44,3.0,1.0,7,1.0,8.0,3.0,,2.96,,[],Sabrina,-_qNFxcZOnhhFM5pwGE36w,24,,48,,3.0,106
152,2009-02,1.0,62,,,1,2.0,2.0,1.0,,3.79,,[],Jerrod,BncUtrl2bphVTu12y5fTlQ,20,,24,,1.0,106
153,2009-02,,41,,,1,,,,,2.88,,[],james,VDRYPEY-zSs3pbetLkGiiw,35,,50,,,114
154,2009-02,3.0,133,,3.0,2,1.0,2.0,4.0,,3.43,,[],Jalal,hYdL3ZbuoJRCZxq8w7Sywg,33,,22,,,114
155,2009-02,2.0,69,,,0,1.0,,2.0,,4.01,,[],Joseph,M-ri2IE0XvuJASmERO5Xgw,36,,25,,,114
156,2009-02,3.0,49,,2.0,4,1.0,,6.0,,3.45,1.0,[],Mike,2ajAqnnz-Mo_i23dMS8L0w,54,,46,1.0,,122
157,2009-02,,53,,,1,1.0,,,,2.7,,[],Mary,aafGKP-ItMJ2iAvENsrNIg,9,,28,,,122
158,2009-02,3.0,59,1.0,2.0,1,1.0,9.0,4.0,,3.63,1.0,[],Vivian,GovXE4I2brxU9DrP7Qt9Lw,69,,68,2.0,2.0,126
159,2009-02,,213,,,4,5.0,1.0,9.0,,3.64,2.0,"[2009, 2010, 2011]",Carolina,G7wMrxD-ruYi-M_jjn3l1A,38,,22,,,132
160,2009-02,28.0,61,1.0,4.0,6,9.0,17.0,18.0,1.0,4.0,3.0,[],Luis,zehI-LGzgqLVI_MJRgkXFg,69,,38,2.0,2.0,132
161,2009-02,33.0,97,2.0,2.0,12,22.0,18.0,26.0,2.0,3.7,,[],Euna,-DULNjvrHrHIKOt1W5FDPg,76,,46,5.0,15.0,140
162,2009-02,2.0,241,,2.0,3,2.0,,6.0,,3.37,,[],C,h6zG1FqIVvZQixOA_EHOAg,65,,73,,,140
163,2009-02,4.0,76,1.0,3.0,4,2.0,2.0,1.0,,3.97,2.0,[],Marlisa,w5tNGxgQl1lRxhGWg50j8Q,82,,41,,,164
164,2009-02,7.0,102,,7.0,3,2.0,9.0,6.0,,4.13,1.0,"[2013, 2014, 2015]",Doron,e1dCD94HlyAchLfWNhcuyg,74,,54,,4.0,164
165,2009-02,,93,,,1,,,1.0,,3.22,,[],John,yMweOoC341D8Ih_Rw2ewNg,18,,32,,,172
