,business_id,variable,value
33,vxZfZBilCqHRO2ya9vPb3w,checkin_info.0-0,1.0
34,ibUy5WjSFnrFyWZKgzk6xQ,checkin_info.0-0,1.0
35,b3rud1v9AO1cwxi3I7bMDw,checkin_info.0-0,1.0
36,5dSQ1KV9HkbZm0ZmJHuMKA,checkin_info.0-0,1.0
37,ste2Xx7pjFKCpx_9YIGf6A,checkin_info.0-0,1.0
38,SkTWFFGPaWEwU3ihk_x4JQ,checkin_info.0-0,1.0
39,SeTv7EHkGQfpQXdyTViAcA,checkin_info.0-0,1.0
40,j_VWgqq3k5kEhOUK0wk2Iw,checkin_info.0-0,1.0
41,a5ZkFRhNQw_kydpXpTRn5w,checkin_info.0-0,1.0
42,JkuXXDySMl5fF0hwmLxNCA,checkin_info.0-0,1.0
43,SeKwfKHI09cOSfnu74xoJQ,checkin_info.0-0,1.0
44,gGfK9Qq9gSQf_4gr5aS4IA,checkin_info.0-0,1.0
45,aYAlzKHwXQn6JNLweRnZjQ,checkin_info.0-0,1.0
46,NPtkN22qeKnJNROKkSwQzg,checkin_info.0-0,1.0
47,lxinwEvcUHFFY9DONHDpnA,checkin_info.0-0,1.0
48,eT-7JjVWhRnkeY2UwXwUMw,checkin_info.0-0,1.0
49,nbCAnw8b9_3EaSPpEfLd2w,checkin_info.0-0,1.0
50,JyfnI_2oVR3tatr6_tguOw,checkin_info.0-0,1.0
51,vP4fFPb7YnHeDgYWjJFPjQ,checkin_info.0-0,1.0
52,9pmnfqUSv-Vuyfl1umQh2A,checkin_info.0-0,1.0
53,zmFc8M-hS4uuyY0hklIpoQ,checkin_info.0-0,1.0
54,8sy3b4PBlbWrfs3UxSoO4w,checkin_info.0-0,1.0
55,whJLVLRto7nVjmwk_XBV3g,checkin_info.0-0,1.0
56,c11BDf4LF6-d0XR14LX9CQ,checkin_info.0-0,1.0
57,gOvePNZVP2jU9vnj6gmYqA,checkin_info.0-0,1.0
58,gCkPJh3AZ6TODJ39Fu11JQ,checkin_info.0-0,1.0
59,XYJsNiECY0Z-fV6rejvprQ,checkin_info.0-0,1.0
60,VAEUkY_a_p94bT3Gnf4FDg,checkin_info.0-0,1.0
61,w4gafqTSIkBjqPufGEEh6Q,checkin_info.0-0,1.0
62,xmjv8g356v8Qo55ICjG8rg,checkin_info.0-0,1.0
63,yJDSMugu_Pom3pJE8MRrJA,checkin_info.0-0,1.0
64,3Onaz69D-ygoTsWROE1u3Q,checkin_info.0-0,1.0
65,dRAcWY-K2AHPJ2ofVwmSEQ,checkin_info.0-0,1.0
66,gOfy0w9TvqIG2TY7taxySQ,checkin_info.0-0,1.0
67,VFjeCLwVMguUNWH-DeOgyw,checkin_info.0-0,1.0
68,wMGkOxmRS-JxMX6r62rO5g,checkin_info.0-0,1.0
69,LnCbpxipUrA165zvfaePGw,checkin_info.0-0,1.0
70,kVNFKuTSm9nfsRCUiG05LQ,checkin_info.0-0,1.0
71,2f8o3-FRnq3rwmstUCOZ7A,checkin_info.0-0,1.0
72,SLy80or6wyYFEBHI1UClqA,checkin_info.0-0,1.0
73,GxCzUAy4tiyjkr9l8PXQYQ,checkin_info.0-0,1.0
74,rlMj1YMMQOPtGDkfz529Og,checkin_info.0-0,1.0
75,a9fNfb-CIF4MnDnvX5tkOw,checkin_info.0-0,1.0
76,En9Qfq5CNMA6yYvDUxsCmA,checkin_info.0-0,1.0
77,4AHB3TMnXCfFSUsP7A5S_w,checkin_info.0-0,1.0
78,ZOJEBgWfxg35zbr_HNWvrQ,checkin_info.0-0,1.0
79,ubCpRQQN8NBtXTxgD72lpw,checkin_info.0-0,1.0
80,eUbpbGBSe0oQneuAenPasw,checkin_info.0-0,1.0
81,37P3Qal2Ml7q06YsZTTfHA,checkin_info.0-0,1.0
82,PuST-CDb8kDKLX7_ESVyeQ,checkin_info.0-0,1.0
83,zlqTqki1aZUAuVnDsFsvYg,checkin_info.0-0,1.0
84,vk2V2-6-OOMqY16PlbS4MA,checkin_info.0-0,1.0
85,hp_zNe_BcfC5Y9-f49DKDA,checkin_info.0-0,1.0
86,HiVvm7ey0mm-EIR3T3EkVg,checkin_info.0-0,1.0
87,_l7F8MKWE5eXGds20v1qEQ,checkin_info.0-0,1.0
88,FZ4NtNg5tJV10wVEcmvGKw,checkin_info.0-0,1.0
89,ZCkh7L0HyZ8L9RclT7A_cw,checkin_info.0-0,1.0
90,YBftkbXRwi-CB6zlAAk5DA,checkin_info.0-0,1.0
91,WqdCrAhYSewDAom1qY-t_g,checkin_info.0-0,1.0
92,014pkZADThO2BoXFa1tuKg,checkin_info.0-0,1.0
93,Y-PnvV-q4HYLIy19ubVmXQ,checkin_info.0-0,1.0
94,0gsYv0BRBxd5wDYDsB9wDw,checkin_info.0-0,1.0
95,tlH1ciAK3t_hrX6FS5VCDQ,checkin_info.0-0,1.0
96,wx-tjDTh8csZVilmXROlQw,checkin_info.0-0,1.0
97,wPbmF-Zlxq2jppgrRNE_Gg,checkin_info.0-0,1.0
98,jsO9c15l1KJ5ncBid3pnmA,checkin_info.0-0,1.0
99,QXWXLEVGeONoZHLmHuFemQ,checkin_info.0-0,1.0
100,SSOCVuB-KuTOv1A0TIyttQ,checkin_info.0-0,1.0
101,M9PFIaQV63vq_vQdnjIzyg,checkin_info.0-0,1.0
102,Qq_c9IQ-rWko-slr8gPUqQ,checkin_info.0-0,1.0
103,gOaq0nNIvOG_JDtlJvbmMg,checkin_info.0-0,1.0
104,QnhfhHUeURnpWBoZ-cexTw,checkin_info.0-0,1.0
105,wnKlePeaeikRHkIOtJSu_g,checkin_info.0-0,1.0
106,F3P2hd-7brkpxh82Y5IC4Q,checkin_info.0-0,1.0
107,k8kHdYFsUGFAFK5Pus9soQ,checkin_info.0-0,1.0
108,ufcuYEqTh2A4X1LNzTyAlQ,checkin_info.0-0,1.0
109,--jFTZmywe7StuZ2hEjxyA,checkin_info.0-0,1.0
110,eGopO76Gw-tTihBWpPqPFA,checkin_info.0-0,1.0
111,mAlREmwuZNrn9dmoDBE8fw,checkin_info.0-0,1.0
112,5KDkchk7H2Q8HOvU3jrYbA,checkin_info.0-0,1.0
113,l8v1GHaB4CsryK6MioZ21A,checkin_info.0-0,1.0
114,mcgtZvjjCXLY-Dt7V_XZ6g,checkin_info.0-0,1.0
115,leet3dOkb8rqUAQuvOjFhg,checkin_info.0-0,1.0
116,oaakO-X7uOXNxqsxjDSKfg,checkin_info.0-0,1.0
117,Cv3YihTcvtnJrBkBsi-svw,checkin_info.0-0,1.0
118,KEQibmrdbSTOU14-awi5nA,checkin_info.0-0,1.0
119,Y_dzA9OHRKa0X1cqcRmsaw,checkin_info.0-0,1.0
120,ox2rL_UzIkvwMHIZC72DHw,checkin_info.0-0,1.0
121,UFyNuxNcuoJ6peYZANEh5w,checkin_info.0-0,1.0
122,bIAyoeIMIPuLsEng6SRJgg,checkin_info.0-0,1.0
123,y7hij1ZlBKwJQ5tHxQ1SOw,checkin_info.0-0,1.0
124,XA7ffumfYBeUQd5uYFqM1A,checkin_info.0-0,1.0
125,POEsTJBWFSSdWWR9PVLACg,checkin_info.0-0,1.0
126,7RvQ30oHHT2W5UU_jO5Wmw,checkin_info.0-0,1.0
127,tXydHtnQ2sU37kXy30CBLw,checkin_info.0-0,1.0
128,riTkPznlAPl86dazAjPO3A,checkin_info.0-0,1.0
129,c87br6ObMpVCEV-l8fFxOw,checkin_info.0-0,1.0
130,Tr9fiwgB25qMpya6t8TIHQ,checkin_info.0-0,1.0
131,xfwRO04KbAPw_zRotCfWQQ,checkin_info.0-0,1.0
132,8cL7aJVKTYmLguzXEAS3Lw,checkin_info.0-0,1.0
133,9QzACqq5Fz0cIZ8p1_ZTUA,checkin_info.0-0,1.0
134,98vAzx0KhzFdvuaLdAbMXQ,checkin_info.0-0,1.0
135,PwxvN0SnAGPdqXdNEYVT3g,checkin_info.0-0,1.0
136,98Cs_twO8VAroN3oA5TkGw,checkin_info.0-0,1.0
137,tc8XUyEkrO94gEMVYiRsjg,checkin_info.0-0,1.0
138,WgsKcV4zZ2JnxUj9lKdn9Q,checkin_info.0-0,1.0
139,X3KntOlUTkVL4KUKQcPehw,checkin_info.0-0,1.0
140,ULVe1zN3HpNeVeTvRaNXoA,checkin_info.0-0,1.0
141,ejS_lQteyzG6PR4gxZN-FQ,checkin_info.0-0,1.0
142,PwpfzdITG3-D5G1LBCwHsg,checkin_info.0-0,1.0
143,CD-pKgS4YzuNPe8e17ST-Q,checkin_info.0-0,1.0
144,6ponQsJFfwrOZvV1Ns38-Q,checkin_info.0-0,1.0
145,8WpmSPNeHncqqRf6ultGiQ,checkin_info.0-0,1.0
146,WzDvQdS7MQrWK7vyDjdR4Q,checkin_info.0-0,1.0
147,JSX7i-cfoixVtnCx4BNb1g,checkin_info.0-0,1.0
148,vIPDzACROxW2O3ZwR25ChQ,checkin_info.0-0,1.0
149,mKL0cb4woD5npRUoWLiOGg,checkin_info.0-0,1.0
150,mNtMJ-dgKST27VbBFUmIqQ,checkin_info.0-0,1.0
151,KeM_BSl5AfV5ZgFNNdq2vg,checkin_info.0-0,1.0
152,Tibe77nC5NFWTeEJZbU23A,checkin_info.0-0,1.0
153,DoLjiU_CSHcKFkofAsUg8A,checkin_info.0-0,1.0
154,T0g94VgTzoO2XNm8MvTvZg,checkin_info.0-0,1.0
155,xhE9pv7AEO3sb6rcqnBOfQ,checkin_info.0-0,1.0
156,K8b-PV0Lo_Z0KylMI6wkhQ,checkin_info.0-0,1.0
157,NNSDXtjgNUNAgQH99R0yWw,checkin_info.0-0,1.0
158,ODlUjRZ4mgrN93YmZFKPFg,checkin_info.0-0,1.0
159,6ii5JM4zVaonwvgVcj9mfQ,checkin_info.0-0,1.0
160,eyYyJ2aOOo0sLHU_ThextQ,checkin_info.0-0,1.0
161,Ov-brVmYdVfbupMoyjUU3A,checkin_info.0-0,1.0
162,L1WDtyC28VyU9vwKYVC9oA,checkin_info.0-0,1.0
163,h_FP6Lho52MIorjH8GuerQ,checkin_info.0-0,1.0
164,_OQ9qkPuDmJQq63qRUzY2g,checkin_info.0-0,1.0
165,w8sRfLP8U7uX4OktcSbb_w,checkin_info.0-0,1.0
166,eQcX-d2ZveSTOE75BipOXQ,checkin_info.0-0,1.0
167,TdRK1m2Qp3TQbxt8i8m5oA,checkin_info.0-0,1.0
168,3UsoXpGO0Enox-WgGzt8Tw,checkin_info.0-0,1.0
169,FmBspjEeAZUil8Yb5hfuCA,checkin_info.0-0,1.0
170,FJe0PrtbRzP2jZZYctdkXw,checkin_info.0-0,1.0
171,tz1OiXy_smAtZx80oRQttQ,checkin_info.0-0,1.0
172,cv_uJSULux8eV09k3oc3zg,checkin_info.0-0,1.0
173,TjUfSlpcsc0Rqo6U6MfM3w,checkin_info.0-0,1.0
174,86hSYWReOuUJHMA4srZGvw,checkin_info.0-0,1.0
175,VPUC20Iwb3chmNMlgGhsIA,checkin_info.0-0,1.0
176,YeKK0Re1_YJX5ZnZDWxzvA,checkin_info.0-0,1.0
177,sg4mAxmnm3v8T8owlWHP-Q,checkin_info.0-0,1.0
178,NmdBgNqvPgNiLj3JCK7X2w,checkin_info.0-0,1.0
179,gOlJQuE3WYeMgXXDKYfdeg,checkin_info.0-0,1.0
180,ajf3Myr1PKX9RaLS_Ukc8A,checkin_info.0-0,1.0
181,vPFiYlgyTpoqonN3rZkJhg,checkin_info.0-0,1.0
182,YJztnPcPTHnFQpzdW3GpsQ,checkin_info.0-0,1.0
183,JqzYtKiIAdqThOGYBZO6wA,checkin_info.0-0,1.0
184,uP3tzmY1_79EP7YO6UPkyQ,checkin_info.0-0,1.0
185,8dpA-MRYh3CA539h0kT6mA,checkin_info.0-0,1.0
186,Cvfi5N4zR9G05Pbg-Ud-KQ,checkin_info.0-0,1.0
187,4BcXBxadXP8UHUb2CBt2jA,checkin_info.0-0,1.0
188,xNyTjXh2FRuT4Z8Ncj9WhA,checkin_info.0-0,1.0
189,XMoicaCYrGRX0IT_1kkUlw,checkin_info.0-0,1.0
190,yJzqFBJbn1WtT2NK175eZQ,checkin_info.0-0,1.0
191,JZWCBnrqU27DF8SOQq5yrw,checkin_info.0-0,1.0
192,CQW18shMSpMb8Cg0t656tA,checkin_info.0-0,1.0
193,6EJGBWDGwZb64x5z7XTxmA,checkin_info.0-0,1.0
194,u7LsppsK04MpkUej6KcEuA,checkin_info.0-0,1.0
195,DGSih6aHGA9xkDV_Er7vaw,checkin_info.0-0,1.0
196,nzAh4G_ratWKqqmIrcbk8g,checkin_info.0-0,1.0
197,SLLRCOUiq-WY0nmePLQAYQ,checkin_info.0-0,1.0
198,vZ4CIMfeos6K7OyYDIlwrQ,checkin_info.0-0,1.0
199,mGqNm8kEq4ZVB1fKLMzImg,checkin_info.0-0,1.0
200,jZ9J99onAgRfwa5XeaQGSg,checkin_info.0-0,1.0
201,PDbx8YH-AHKA4drZvfhKOg,checkin_info.0-0,1.0
202,2jh1-DuB1L5t8pd1vXutgw,checkin_info.0-0,1.0
203,vwAvFkrB9459ucTugR7rKw,checkin_info.0-0,1.0
204,8sV6eqDo5X8KgRjkEBpVzA,checkin_info.0-0,1.0
205,cRBQ5FcRfNZT3_l9KKfOgA,checkin_info.0-0,1.0
206,BUpMSaHWxlWTgKTDIzz5Lw,checkin_info.0-0,1.0
207,GBpMOaHjBeL6WpjmkRN34A,checkin_info.0-0,1.0
208,4kb6cLYeuFqK-HCfCu3IcQ,checkin_info.0-0,1.0
209,kugSyxwoF8ijPqlwr7sQXg,checkin_info.0-0,1.0
210,_OFdbk31-9UJnWDwqDbsPg,checkin_info.0-0,1.0
211,ZzCR1IzhoCt3Kf-1l0DlVQ,checkin_info.0-0,1.0
212,ARpPb7Mx4VQ5lFVkhDy7fQ,checkin_info.0-0,1.0
213,kK8GZ5E1khyACzF_WvTRVQ,checkin_info.0-0,1.0
214,Paxv-eS5fc5AkABCkdX1pA,checkin_info.0-0,1.0
215,KNNSG20b8Dena2AxypgUcQ,checkin_info.0-0,1.0
216,iM27P2Dk1tVocQ9ai1FHMQ,checkin_info.0-0,1.0
217,ZV1uiya7_lBfoZoU-FJSMg,checkin_info.0-0,1.0
218,3rJffDiEpgSMXesNUjCdLw,checkin_info.0-0,1.0
219,GircILJUZdJ2X1Uq7a3mbg,checkin_info.0-0,1.0
220,l8JIAsWIO2-0g7jftcD3nw,checkin_info.0-0,1.0
221,1vc6NSfL-icWfnZvQcMziA,checkin_info.0-0,1.0
222,-sC66z4SO3tR7nFCjfQwuQ,checkin_info.0-0,1.0
223,5lfBfk8OSiqUkxfufYTahA,checkin_info.0-0,1.0
224,xV3OGVeNZyARob-L1SSTPQ,checkin_info.0-0,1.0
225,Ko08oUwSm8E8IxSrunx7rA,checkin_info.0-0,1.0
226,PXviRcHR1mqdH4vRc2LEAQ,checkin_info.0-0,1.0
227,az3Im9mYzC1gq01y49Mbeg,checkin_info.0-0,1.0
228,KnXcdnwMl-Xlxp5vJfsDAA,checkin_info.0-0,1.0
229,mfeI5aACFj3DMvIfz3BU0A,checkin_info.0-0,1.0
230,yY1RTH4DgbZqFeir48YCDQ,checkin_info.0-0,1.0
231,w6jhv_9mk6MyDV5cKKwm9w,checkin_info.0-0,1.0
232,15JT2xhzP_R96mT6rK882A,checkin_info.0-0,1.0
233,1xZbo0U7inuNHjx1bElwdg,checkin_info.0-0,1.0
234,-584fn2GxYe9sLsgN2WeQA,checkin_info.0-0,1.0
235,RC8B7Abs59aogAxzwkAYmg,checkin_info.0-0,1.0
236,IoxqaBNvzKGuVtaYe6g0Cw,checkin_info.0-0,1.0
237,eP6BKBrIdbD6Bo-wpEAd4w,checkin_info.0-0,1.0
238,MYj5f-QxtGeKlhVVx1RD4g,checkin_info.0-0,1.0
239,FMlrPWRNuvPx_Af5VameQg,checkin_info.0-0,1.0
240,g4tY0hSv_dzJQPUbdLOyPg,checkin_info.0-0,1.0
241,qdI9KaRhOzaJRK0dvGUSaw,checkin_info.0-0,1.0
242,uNShGMhneBeuTzgd0g_XTA,checkin_info.0-0,1.0
243,jyx1FtmYIWtpjfatfDfYBg,checkin_info.0-0,1.0
244,Yhzb2yXtOBlaGL2lBYpKrA,checkin_info.0-0,1.0
245,rfDTJLEwZZ2EGOZiTDdqQA,checkin_info.0-0,1.0
246,jsJxRLGm8zjWm_HVR2FDnw,checkin_info.0-0,1.0
247,4wYG8byvCI62xTWKpOSwdQ,checkin_info.0-0,1.0
248,-INZ6z5X6RrHdGhk4WoYtg,checkin_info.0-0,1.0
249,QkAv4k5aB6SwNRNK7q19ug,checkin_info.0-0,1.0
250,Smib6mLwWu5t6LwfV1Y3og,checkin_info.0-0,1.0
251,Qdq8TXT29E7j2JYN3_9NIw,checkin_info.0-0,1.0
252,GTVneiUeIyRL8Wa_WmEQ0g,checkin_info.0-0,1.0
253,ATPpSwo9LO03wcBUAVhrjQ,checkin_info.0-0,1.0
254,u0NbikWwP7TVkMkCily-4g,checkin_info.0-0,1.0
255,gy5jh1qLZGanvNKJh2GTdQ,checkin_info.0-0,1.0
256,PBej5DE0QOF-XW0pK1cL5w,checkin_info.0-0,1.0
257,drSIHCp7SOpYDwKEMAq2Nw,checkin_info.0-0,1.0
258,24Pyg1ywhjaJDaE9v2tWFQ,checkin_info.0-0,1.0
259,i9mKoASjely9zlxSRYfCJA,checkin_info.0-0,1.0
260,eqbpaxfx2DHhG-cj9L8tVg,checkin_info.0-0,1.0
261,07AyHxEKx-BTO_pKRLG4Iw,checkin_info.0-0,1.0
262,2R0V07uT4sCSCtSvMjbPfQ,checkin_info.0-0,1.0
263,4PrxqzfatLLxn9ZCTW9lKw,checkin_info.0-0,1.0
264,-5RN56jH78MV2oquLV_G8g,checkin_info.0-0,1.0
265,WBmbKC81XYCUCgMGfLLjwA,checkin_info.0-0,1.0
266,9S1tgwjtErBJywAlXuSIlw,checkin_info.0-0,1.0
267,joAECABk39jQRM59nQpxaQ,checkin_info.0-0,1.0
268,AuMz7XGkjLcIUurp_AD51w,checkin_info.0-0,1.0
269,BMW7h5lGeDk2pOA4nC5B5A,checkin_info.0-0,1.0
270,5ambRqdTJt9vGwFzVI9HBw,checkin_info.0-0,1.0
271,ptaL3-PLHbo6WhDLNRAvnw,checkin_info.0-0,1.0
272,Jy8Rsu_G-3UNNun45hALoA,checkin_info.0-0,1.0
273,snE3ZuXhcHgAVt3xTUGgzQ,checkin_info.0-0,1.0
274,xdZCDgyGmwaz_rWbZ0SKAw,checkin_info.0-0,1.0
275,_MLZSx7LBr0F0AI8MqqbMw,checkin_info.0-0,1.0
276,2f7TvlG5zcuMCHcQjxqS6A,checkin_info.0-0,1.0
277,zde5J9NoEXB5U0AomiFBZQ,checkin_info.0-0,1.0
278,117Pv1lakUyYKRoko0zvQQ,checkin_info.0-0,1.0
279,hNlnO0SN_xif7rB4Mr0qPg,checkin_info.0-0,1.0
280,j_k1GEgbbmUPrHg79fUBqA,checkin_info.0-0,1.0
281,y2wWQI1gx8Zu5pP_WZSR-A,checkin_info.0-0,1.0
282,gj_8sI7cjD_1pH6gPBcNRg,checkin_info.0-0,1.0
283,ECBzFJhjbTyPHG7hZHPh_w,checkin_info.0-0,1.0
284,f6KGn2OyYk6LWEpnUEgerw,checkin_info.0-0,1.0
285,KhWaq3lGLEUQjwJkMZHG_Q,checkin_info.0-0,1.0
286,c5mGzf4ovtEglIzlXsL6rA,checkin_info.0-0,1.0
287,0hej0FRXraL5BNUKWhY_8w,checkin_info.0-0,1.0
288,pKKupk4E3Z3bxQ-7r9VVJA,checkin_info.0-0,1.0
289,A4q9jha6NNbbcuF5RFy7sg,checkin_info.0-0,1.0
290,9xGeYICHI3UoTcvlIKwWzA,checkin_info.0-0,1.0
291,ttLtsY1S2Angj6hvEdzwDQ,checkin_info.0-0,1.0
292,C51OyHyQUZfGom7Rb5FV8A,checkin_info.0-0,1.0
293,VLoIHZpEIjBrJxpKPSKIPg,checkin_info.0-0,1.0
294,ZfAe6DU_UP9IdYkI-te1QA,checkin_info.0-0,1.0
295,w29d_3Ua0_JlOaAk89Sr2w,checkin_info.0-0,1.0
296,gI6EdLUhD1JourBHN-C4lg,checkin_info.0-0,1.0
297,cD2VsBOKxygjV7BKbU8SRA,checkin_info.0-0,1.0
298,7EvTeABfqSt0z75huEOqNA,checkin_info.0-0,1.0
299,o0J3yg99FRnJv-lXAdwg8g,checkin_info.0-0,1.0
300,UigtwOB_B0Wba3yH4IK1AA,checkin_info.0-0,1.0
301,G4ZZHlp6CdYBZOirW2_PQA,checkin_info.0-0,1.0
302,H7EdgWJrR_nBJGRDWP2FGA,checkin_info.0-0,1.0
303,eKEfEAftcaZB5ULXSyoT5w,checkin_info.0-0,1.0
304,FzeYyIca3Bw8mS4MeUUAGw,checkin_info.0-0,1.0
305,Mt5fXe2EsPyFcZRU8y4j3w,checkin_info.0-0,1.0
306,lf8vrwpVGZKx12fOqEsIug,checkin_info.0-0,1.0
307,-3xbryp44xhpN4BohxXDdQ,checkin_info.0-0,1.0
308,Gu0L9ZxxCQkQbRvRes2MYw,checkin_info.0-0,1.0
309,DdvIUeFlPnDSUKEyy10hUw,checkin_info.0-0,1.0
310,1yx2zLskVTe5WQdYjL2Apw,checkin_info.0-0,1.0
311,xx8DVj1NQfJR33B9e8t5vg,checkin_info.0-0,1.0
312,_F_6tiqmQoAupzlhp-7M5Q,checkin_info.0-0,1.0
313,g8dcjPzIJGwY-u4GAeHxnQ,checkin_info.0-0,1.0
314,GDmue1oJaem9ilywDtA4_A,checkin_info.0-0,1.0
315,BjznUPL2h5-vOkPHsnF40w,checkin_info.0-0,1.0
316,32f43CI5i1oCleGZG5kQFA,checkin_info.0-0,1.0
317,2yBk6SvYQPnickE_QJrlaA,checkin_info.0-0,1.0
318,7jP94jaXfaz8bxcmXtYwpA,checkin_info.0-0,1.0
319,ark3KpeToSbkL8LFSLq-Eg,checkin_info.0-0,1.0
320,7ual2R6AP3E5HDet4k6vXg,checkin_info.0-0,1.0
321,R2HLYDDjLfBDdkyKVtofBQ,checkin_info.0-0,1.0
322,FTl7vX2ol3DAWkcYn6zKBQ,checkin_info.0-0,1.0
323,GWT2zC-yOKqDT8nFXrxXkw,checkin_info.0-0,1.0
324,GoKArNsn4O4RQi3M2Choog,checkin_info.0-0,1.0
325,pEFrQHBaIhHxHo3qPm3pzQ,checkin_info.0-0,1.0
326,PbU5sHd2KziM-LZ5dU6sFQ,checkin_info.0-0,1.0
327,EolW2H_wkpYwWbBURN_4gQ,checkin_info.0-0,1.0
328,H3lptotMfhHlmhtWQ49New,checkin_info.0-0,1.0
329,FkRrKLD9Wlx0hh1Si47roA,checkin_info.0-0,1.0
330,LcyRdze96F97xuiV1AG2eg,checkin_info.0-0,1.0
331,_LsGlbpybDbENusCXuEpyQ,checkin_info.0-0,1.0
332,-s9Vc4QS91I4DUfR9V4VgA,checkin_info.0-0,1.0
333,EzwpoKQrHgDHwpuCUw074Q,checkin_info.0-0,1.0
334,IajLEuqz49slYhVoFGZapg,checkin_info.0-0,1.0
335,eUAJ6nHzpdD1avEZIKyPbg,checkin_info.0-0,1.0
336,gXlN-aKhMp-GwbHdmEzoMw,checkin_info.0-0,1.0
337,lq2iZK7epi23byzcejjqTg,checkin_info.0-0,1.0
338,ByJioN1ISBWpUSAI0rWt2w,checkin_info.0-0,1.0
339,4Bjn6QdaJIvsmcspcucOkA,checkin_info.0-0,1.0
340,e5uRGtS3HNsBayKVy3U05w,checkin_info.0-0,1.0
341,z3zcsnK26QhC7TqDX73zvA,checkin_info.0-0,1.0
342,g5jQgLcnB338vsGHyyL4WQ,checkin_info.0-0,1.0
343,TvSwsH1Z47fPwvPN3rMNPw,checkin_info.0-0,1.0
344,xC_VEzJFoNeKhJA1bxDiqA,checkin_info.0-0,1.0
345,3C84uawGg_icNH4BNiSmjQ,checkin_info.0-0,1.0
346,6QQ1qO4X9NBBsrq4tYb5dQ,checkin_info.0-0,1.0
347,qeC_jovru8oAlKa3dfiTEA,checkin_info.0-0,1.0
348,nBdUTu6WFZBaunP8OlvNMQ,checkin_info.0-0,1.0
349,kCyR9oviJZYohR-JYvqvSQ,checkin_info.0-0,1.0
350,iDggZPkFWs9LTuz6fistMw,checkin_info.0-0,1.0
351,WmUcv3Pvoc1DyhE_HMNPKw,checkin_info.0-0,1.0
352,CqHE119u75NpXY7dHOVmGg,checkin_info.0-0,1.0
353,83da7v9gQsWJegTW52qnuw,checkin_info.0-0,1.0
354,XDhokRefXlSWOlSLHKbF5Q,checkin_info.0-0,1.0
355,Xh72J-rep2vkskAq1TCMeQ,checkin_info.0-0,1.0
356,qS1e8z6XXjN2IewBAfq5_g,checkin_info.0-0,1.0
357,84JrJfQPA9SLk4GVSBaorw,checkin_info.0-0,1.0
358,_FBnbgbEwaZshbuoUoSBfA,checkin_info.0-0,1.0
359,2-4GQW8OkWU97srNoIqTFA,checkin_info.0-0,1.0
360,z-og6iO0HE7J0l1V4zCGTQ,checkin_info.0-0,1.0
361,kjW7l6GnicX5QKTPqrny9A,checkin_info.0-0,1.0
362,vMJaA9SRHSaA2DAQUzOIkw,checkin_info.0-0,1.0
363,JxqtmneayPXU0nSHxC5YOw,checkin_info.0-0,1.0
